index,season,episode,episode_num,snatch_game_episode,ru_rank,missc,queen,challenge_outcome,eliminated,participant,minichalw,finale,penultimate
277,S03,9,S03E9,0,3,0,Alexis Mateo,WIN,0,1,0,0,0
278,S03,9,S03E9,0,4,1,Yara Sofia,BTM,0,1,0,0,0
279,S03,9,S03E9,0,5,0,Carmen Carrera,BTM,0,1,0,0,0
280,S03,9,S03E9,0,6,0,Shangela,SAFE,0,1,0,0,0
288,S03,10,S03E10,0,1,0,Raja,WIN,0,1,0,0,0
289,S03,10,S03E10,0,2,0,Manila Luzon,HIGH,0,1,1,0,0
290,S03,10,S03E10,0,3,0,Alexis Mateo,LOW,0,1,0,0,0
291,S03,10,S03E10,0,4,1,Yara Sofia,HIGH,0,1,0,0,0
292,S03,10,S03E10,0,5,0,Carmen Carrera,ELIM,1,1,0,0,0
293,S03,10,S03E10,0,6,0,Shangela,BTM,0,1,0,0,0
301,S03,11,S03E11,0,1,0,Raja,HIGH,0,1,1,0,0
302,S03,11,S03E11,0,2,0,Manila Luzon,HIGH,0,1,0,0,0
303,S03,11,S03E11,0,3,0,Alexis Mateo,BTM,0,1,0,0,0
304,S03,11,S03E11,0,4,1,Yara Sofia,WIN,0,1,0,0,0
306,S03,11,S03E11,0,6,0,Shangela,ELIM,1,1,0,0,0
314,S03,12,S03E12,0,1,0,Raja,BTM,0,1,0,0,0
315,S03,12,S03E12,0,2,0,Manila Luzon,WIN,0,1,0,0,0
316,S03,12,S03E12,0,3,0,Alexis Mateo,HIGH,0,1,1,0,0
317,S03,12,S03E12,0,4,1,Yara Sofia,LOW,0,1,0,0,0
318,S03,12,S03E12,0,5,0,Carmen Carrera,ELIM,1,1,0,0,0
327,S03,13,S03E13,0,1,0,Raja,HIGH,0,1,0,0,0
328,S03,13,S03E13,0,2,0,Manila Luzon,WIN,0,1,0,0,0
329,S03,13,S03E13,0,3,0,Alexis Mateo,BTM,0,1,0,0,0
330,S03,13,S03E13,0,4,1,Yara Sofia,BTM,0,1,1,0,0
340,S03,15,S03E15,0,1,0,Raja,QUEEN SUPREME,0,1,0,1,0
341,S03,15,S03E15,0,2,0,Manila Luzon,FINALE,0,1,0,1,0
342,S03,15,S03E15,0,3,0,Alexis Mateo,FINALE,1,1,0,1,0
353,S04,1,S04E1,0,1,0,Sharon Needles,WIN,0,1,0,0,0
354,S04,1,S04E1,0,2,0,Chad Michaels,SAFE,0,1,0,0,0
355,S04,1,S04E1,0,2,0,Phi Phi O'Hara,SAFE,0,1,0,0,0
356,S04,1,S04E1,0,4,1,Latrice Royale,SAFE,0,1,0,0,0
357,S04,1,S04E1,0,5,0,Kenya Michaels,LOW,0,1,0,0,0
358,S04,1,S04E1,0,6,0,Dida Ritz,SAFE,0,1,0,0,0
359,S04,1,S04E1,0,7,0,Willam,SAFE,0,1,0,0,0
360,S04,1,S04E1,0,8,0,Jiggly Caliente,BTM,0,1,1,0,0
361,S04,1,S04E1,0,9,0,Milan,SAFE,0,1,0,0,0
362,S04,1,S04E1,0,10,0,Madame LaQueer,SAFE,0,1,0,0,0
363,S04,1,S04E1,0,11,0,The Princess,HIGH,0,1,0,0,0
364,S04,1,S04E1,0,12,0,Lashauwn Beyond,HIGH,0,1,0,0,0
365,S04,1,S04E1,0,13,0,Alisa Summers,ELIM,1,1,0,0,0
366,S04,2,S04E2,0,1,0,Sharon Needles,SAFE,0,1,0,0,0
367,S04,2,S04E2,0,2,0,Chad Michaels,WIN,0,1,0,0,0
368,S04,2,S04E2,0,2,0,Phi Phi O'Hara,HIGH,0,1,0,0,0
369,S04,2,S04E2,0,4,1,Latrice Royale,HIGH,0,1,0,0,0
370,S04,2,S04E2,0,5,0,Kenya Michaels,HIGH,0,1,0,0,0
371,S04,2,S04E2,0,6,0,Dida Ritz,LOW,0,1,0,0,0
372,S04,2,S04E2,0,7,0,Willam,SAFE,0,1,0,0,0
373,S04,2,S04E2,0,8,0,Jiggly Caliente,SAFE,0,1,0,0,0
374,S04,2,S04E2,0,9,0,Milan,SAFE,0,1,0,0,0
375,S04,2,S04E2,0,10,0,Madame LaQueer,WIN,0,1,0,0,0
376,S04,2,S04E2,0,11,0,The Princess,BTM,0,1,0,0,0
377,S04,2,S04E2,0,12,0,Lashauwn Beyond,ELIM,1,1,0,0,0
379,S04,3,S04E3,0,1,0,Sharon Needles,WIN,0,1,0,0,0
380,S04,3,S04E3,0,2,0,Chad Michaels,HIGH,0,1,0,0,0
381,S04,3,S04E3,0,2,0,Phi Phi O'Hara,SAFE,0,1,0,0,0
382,S04,3,S04E3,0,4,1,Latrice Royale,SAFE,0,1,0,0,0
383,S04,3,S04E3,0,5,0,Kenya Michaels,HIGH,0,1,0,0,0
384,S04,3,S04E3,0,6,0,Dida Ritz,BTM,0,1,0,0,0
385,S04,3,S04E3,0,7,0,Willam,SAFE,0,1,0,0,0
386,S04,3,S04E3,0,8,0,Jiggly Caliente,SAFE,0,1,1,0,0
387,S04,3,S04E3,0,9,0,Milan,SAFE,0,1,0,0,0
388,S04,3,S04E3,0,10,0,Madame LaQueer,LOW,0,1,0,0,0
389,S04,3,S04E3,0,11,0,The Princess,ELIM,1,1,0,0,0
392,S04,4,S04E4,0,1,0,Sharon Needles,SAFE,0,1,0,0,0
393,S04,4,S04E4,0,2,0,Chad Michaels,SAFE,0,1,0,0,0
394,S04,4,S04E4,0,2,0,Phi Phi O'Hara,SAFE,0,1,0,0,0
395,S04,4,S04E4,0,4,1,Latrice Royale,WIN,0,1,0,0,0
396,S04,4,S04E4,0,5,0,Kenya Michaels,LOW,0,1,0,0,0
397,S04,4,S04E4,0,6,0,Dida Ritz,SAFE,0,1,0,0,0
398,S04,4,S04E4,0,7,0,Willam,SAFE,0,1,0,0,0
399,S04,4,S04E4,0,8,0,Jiggly Caliente,SAFE,0,1,0,0,0
400,S04,4,S04E4,0,9,0,Milan,BTM,0,1,0,0,0
401,S04,4,S04E4,0,10,0,Madame LaQueer,BTM,0,1,0,0,0
405,S04,5,S04E5,1,1,0,Sharon Needles,SG HIGH,0,1,0,0,0
406,S04,5,S04E5,1,2,0,Chad Michaels,SG WIN,0,1,0,0,0
407,S04,5,S04E5,1,2,0,Phi Phi O'Hara,SG LOW,0,1,1,0,0
408,S04,5,S04E5,1,4,1,Latrice Royale,SG SAFE,0,1,0,0,0
409,S04,5,S04E5,1,5,0,Kenya Michaels,SG ELIM,1,1,0,0,0
410,S04,5,S04E5,1,6,0,Dida Ritz,SG SAFE,0,1,0,0,0
411,S04,5,S04E5,1,7,0,Willam,SG HIGH,0,1,0,0,0
412,S04,5,S04E5,1,8,0,Jiggly Caliente,SG SAFE,0,1,0,0,0
413,S04,5,S04E5,1,9,0,Milan,SG BTM,0,1,0,0,0
418,S04,6,S04E6,0,1,0,Sharon Needles,SAFE,0,1,0,0,0
419,S04,6,S04E6,0,2,0,Chad Michaels,SAFE,0,1,0,0,0
420,S04,6,S04E6,0,2,0,Phi Phi O'Hara,HIGH,0,1,0,0,0
421,S04,6,S04E6,0,4,1,Latrice Royale,HIGH,0,1,0,0,0
423,S04,6,S04E6,0,6,0,Dida Ritz,LOW,0,1,0,0,0
424,S04,6,S04E6,0,7,0,Willam,WIN,0,1,1,0,0
425,S04,6,S04E6,0,8,0,Jiggly Caliente,BTM,0,1,0,0,0
426,S04,6,S04E6,0,9,0,Milan,ELIM,1,1,0,0,0
431,S04,7,S04E7,0,1,0,Sharon Needles,HIGH,0,1,0,0,0
432,S04,7,S04E7,0,2,0,Chad Michaels,LOW,0,1,0,0,0
433,S04,7,S04E7,0,2,0,Phi Phi O'Hara,WIN,0,1,0,0,0
434,S04,7,S04E7,0,4,1,Latrice Royale,LOW,0,1,1,0,0
436,S04,7,S04E7,0,6,0,Dida Ritz,SAFE,0,1,0,0,0
437,S04,7,S04E7,0,7,0,Willam,BTM,0,1,0,0,0
438,S04,7,S04E7,0,8,0,Jiggly Caliente,ELIM,1,1,0,0,0
444,S04,8,S04E8,0,1,0,Sharon Needles,BTM,0,1,0,0,0
445,S04,8,S04E8,0,2,0,Chad Michaels,SAFE,0,1,0,0,0
446,S04,8,S04E8,0,2,0,Phi Phi O'Hara,BTM,0,1,0,0,0
447,S04,8,S04E8,0,4,1,Latrice Royale,WIN,0,1,0,0,0
449,S04,8,S04E8,0,6,0,Dida Ritz,SAFE,0,1,0,0,0
450,S04,8,S04E8,0,7,0,Willam,ELIM,1,1,0,0,0
457,S04,9,S04E9,0,1,0,Sharon Needles,WIN,0,1,0,0,0
458,S04,9,S04E9,0,2,0,Chad Michaels,HIGH,0,1,0,0,0
459,S04,9,S04E9,0,2,0,Phi Phi O'Hara,LOW,0,1,1,0,0
460,S04,9,S04E9,0,4,1,Latrice Royale,BTM,0,1,0,0,0
462,S04,9,S04E9,0,6,0,Dida Ritz,ELIM,1,1,0,0,0
470,S04,10,S04E10,0,1,0,Sharon Needles,LOW,0,1,0,0,0
471,S04,10,S04E10,0,2,0,Chad Michaels,HIGH,0,1,0,0,0
472,S04,10,S04E10,0,2,0,Phi Phi O'Hara,WIN,0,1,0,0,0
473,S04,10,S04E10,0,4,1,Latrice Royale,BTM,0,1,0,0,0
474,S04,10,S04E10,0,5,0,Kenya Michaels,BTM,0,1,1,0,0
483,S04,11,S04E11,0,1,0,Sharon Needles,WIN,0,1,0,0,0
484,S04,11,S04E11,0,2,0,Chad Michaels,BTM,0,1,1,0,0
485,S04,11,S04E11,0,2,0,Phi Phi O'Hara,HIGH,0,1,0,0,0
486,S04,11,S04E11,0,4,1,Latrice Royale,ELIM,1,1,0,0,0
496,S04,14,S04E14,0,1,0,Sharon Needles,QUEEN SUPREME,0,1,0,1,0
497,S04,14,S04E14,0,2,0,Chad Michaels,FINALE,0,1,0,1,0
498,S04,14,S04E14,0,2,0,Phi Phi O'Hara,FINALE,0,1,0,1,0
509,S05,1,S05E1,0,1,0,Jinkx Monsoon,SAFE,0,1,0,0,0
510,S05,1,S05E1,0,2,0,Alaska,HIGH,0,1,0,0,0
511,S05,1,S05E1,0,2,0,Roxxxy Andrews,WIN,0,1,0,0,0
512,S05,1,S05E1,0,4,0,Detox,SAFE,0,1,1,0,0
513,S05,1,S05E1,0,5,0,Coco Montrese,SAFE,0,1,0,0,0
514,S05,1,S05E1,0,6,0,Alyssa Edwards,SAFE,0,1,0,0,0
515,S05,1,S05E1,0,7,1,Ivy Winters,HIGH,0,1,0,0,0
516,S05,1,S05E1,0,8,0,Jade Jolie,LOW,0,1,0,0,0
517,S05,1,S05E1,0,9,0,Lineysha Sparx,HIGH,0,1,0,0,0
518,S05,1,S05E1,0,10,0,Honey Mahogany,SAFE,0,1,0,0,0
519,S05,1,S05E1,0,10,0,Vivienne Pinay,SAFE,0,1,0,0,0
520,S05,1,S05E1,0,12,0,Monica Beverly Hillz,SAFE,0,1,0,0,0
521,S05,1,S05E1,0,13,0,Serena Cha Cha,BTM,0,1,0,0,0
522,S05,1,S05E1,0,14,0,Penny Tration,ELIM,1,1,0,0,0
523,S05,2,S05E2,0,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
524,S05,2,S05E2,0,2,0,Alaska,SAFE,0,1,0,0,0
525,S05,2,S05E2,0,2,0,Roxxxy Andrews,SAFE,0,1,0,0,0
526,S05,2,S05E2,0,4,0,Detox,SAFE,0,1,0,0,0
527,S05,2,S05E2,0,5,0,Coco Montrese,HIGH,0,1,0,0,0
528,S05,2,S05E2,0,6,0,Alyssa Edwards,HIGH,0,1,0,0,0
529,S05,2,S05E2,0,7,1,Ivy Winters,SAFE,0,1,0,0,0
530,S05,2,S05E2,0,8,0,Jade Jolie,HIGH,0,1,0,0,0
531,S05,2,S05E2,0,9,0,Lineysha Sparx,WIN,0,1,0,0,0
532,S05,2,S05E2,0,10,0,Honey Mahogany,SAFE,0,1,0,0,0
533,S05,2,S05E2,0,10,0,Vivienne Pinay,SAFE,0,1,0,0,0
534,S05,2,S05E2,0,12,0,Monica Beverly Hillz,BTM,0,1,0,0,0
535,S05,2,S05E2,0,13,0,Serena Cha Cha,BTM,0,1,0,0,0
537,S05,3,S05E3,0,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
538,S05,3,S05E3,0,2,0,Alaska,LOW,0,1,0,0,0
