index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
323,S03,12,S03E12,10,0,India Ferrah,NA,NA,0,NA,0,0
324,S03,12,S03E12,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
325,S03,12,S03E12,12,0,Phoenix,NA,NA,0,NA,0,0
326,S03,12,S03E12,13,0,Venus D-Lite,NA,NA,0,NA,0,0
327,S03,13,S03E13,1,0,Raja,HIGH,0,1,0,0,0
328,S03,13,S03E13,2,0,Manila Luzon,WIN,0,1,0,0,0
329,S03,13,S03E13,3,0,Alexis Mateo,BTM,0,1,0,0,0
330,S03,13,S03E13,4,1,Yara Sofia,BTM,0,1,1,0,0
331,S03,13,S03E13,5,0,Carmen Carrera,NA,NA,0,NA,0,0
332,S03,13,S03E13,6,0,Shangela,NA,NA,0,NA,0,0
333,S03,13,S03E13,7,0,Delta Work,NA,NA,0,NA,0,0
334,S03,13,S03E13,8,0,Stacy Layne Matthews,NA,NA,0,NA,0,0
335,S03,13,S03E13,9,0,Mariah,NA,NA,0,NA,0,0
336,S03,13,S03E13,10,0,India Ferrah,NA,NA,0,NA,0,0
337,S03,13,S03E13,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
338,S03,13,S03E13,12,0,Phoenix,NA,NA,0,NA,0,0
339,S03,13,S03E13,13,0,Venus D-Lite,NA,NA,0,NA,0,0
340,S03,15,S03E15,1,0,Raja,WIN,0,1,0,1,0
341,S03,15,S03E15,2,0,Manila Luzon,HIGH,0,1,0,1,0
342,S03,15,S03E15,3,0,Alexis Mateo,BTM,1,1,0,1,0
343,S03,15,S03E15,4,1,Yara Sofia,NA,NA,0,NA,1,0
344,S03,15,S03E15,5,0,Carmen Carrera,NA,NA,0,NA,1,0
345,S03,15,S03E15,6,0,Shangela,NA,NA,0,NA,1,0
346,S03,15,S03E15,7,0,Delta Work,NA,NA,0,NA,1,0
347,S03,15,S03E15,8,0,Stacy Layne Matthews,NA,NA,0,NA,1,0
348,S03,15,S03E15,9,0,Mariah,NA,NA,0,NA,1,0
349,S03,15,S03E15,10,0,India Ferrah,NA,NA,0,NA,1,0
350,S03,15,S03E15,11,0,Mimi Imfurst,NA,NA,0,NA,1,0
351,S03,15,S03E15,12,0,Phoenix,NA,NA,0,NA,1,0
352,S03,15,S03E15,13,0,Venus D-Lite,NA,NA,0,NA,1,0
353,S04,1,S04E1,1,0,Sharon Needles,WIN,0,1,0,0,0
354,S04,1,S04E1,2,0,Chad Michaels,SAFE,0,1,0,0,0
355,S04,1,S04E1,2,0,Phi Phi O'Hara,SAFE,0,1,0,0,0
356,S04,1,S04E1,4,1,Latrice Royale,SAFE,0,1,0,0,0
357,S04,1,S04E1,5,0,Kenya Michaels,LOW,0,1,0,0,0
358,S04,1,S04E1,6,0,Dida Ritz,SAFE,0,1,0,0,0
359,S04,1,S04E1,7,0,Willam,SAFE,0,1,0,0,0
