,index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
277,278,S03,9,S03E9,4.0,1.0,Yara Sofia,,0.0,1,0.0,0,0
278,279,S03,9,S03E9,5.0,0.0,Carmen Carrera,,0.0,1,0.0,0,0
279,280,S03,9,S03E9,6.0,0.0,Shangela,,0.0,1,0.0,0,0
287,288,S03,10,S03E10,1.0,0.0,Raja,,0.0,1,0.0,0,0
288,289,S03,10,S03E10,2.0,0.0,Manila Luzon,,0.0,1,1.0,0,0
289,290,S03,10,S03E10,3.0,0.0,Alexis Mateo,,0.0,1,0.0,0,0
290,291,S03,10,S03E10,4.0,1.0,Yara Sofia,,0.0,1,0.0,0,0
291,292,S03,10,S03E10,5.0,0.0,Carmen Carrera,,1.0,1,0.0,0,0
292,293,S03,10,S03E10,6.0,0.0,Shangela,,0.0,1,0.0,0,0
300,301,S03,11,S03E11,1.0,0.0,Raja,,0.0,1,1.0,0,0
301,302,S03,11,S03E11,2.0,0.0,Manila Luzon,,0.0,1,0.0,0,0
302,303,S03,11,S03E11,3.0,0.0,Alexis Mateo,,0.0,1,0.0,0,0
303,304,S03,11,S03E11,4.0,1.0,Yara Sofia,,0.0,1,0.0,0,0
305,306,S03,11,S03E11,6.0,0.0,Shangela,,1.0,1,0.0,0,0
313,314,S03,12,S03E12,1.0,0.0,Raja,,0.0,1,0.0,0,0
314,315,S03,12,S03E12,2.0,0.0,Manila Luzon,,0.0,1,0.0,0,0
315,316,S03,12,S03E12,3.0,0.0,Alexis Mateo,,0.0,1,1.0,0,0
316,317,S03,12,S03E12,4.0,1.0,Yara Sofia,,0.0,1,0.0,0,0
317,318,S03,12,S03E12,5.0,0.0,Carmen Carrera,,1.0,1,0.0,0,0
326,327,S03,13,S03E13,1.0,0.0,Raja,,0.0,1,0.0,0,0
327,328,S03,13,S03E13,2.0,0.0,Manila Luzon,,0.0,1,0.0,0,0
328,329,S03,13,S03E13,3.0,0.0,Alexis Mateo,,0.0,1,0.0,0,0
329,330,S03,13,S03E13,4.0,1.0,Yara Sofia,,0.0,1,1.0,0,0
339,340,S03,15,S03E15,1.0,0.0,Raja,QUEEN SUPREME,0.0,1,0.0,1,0
340,341,S03,15,S03E15,2.0,0.0,Manila Luzon,FINALE,0.0,1,0.0,1,0
341,342,S03,15,S03E15,3.0,0.0,Alexis Mateo,ELIM,1.0,1,0.0,1,0
352,353,S04,1,S04E1,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
353,354,S04,1,S04E1,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
354,355,S04,1,S04E1,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
355,356,S04,1,S04E1,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
356,357,S04,1,S04E1,5.0,0.0,Kenya Michaels,,0.0,1,0.0,0,0
