,season,season_rank,queen_name,age,city,state,queen_supreme,finale,chall_wins,high,safe,low,btm,elim,sg_win,sg_high,sg_safe,sg_low,sg_btm,sg_elim,dfl_score,dfl_rank
79,S07,5,Katya,32,Boston, Massachusetts,0,0,2,3,3,0,1,1,0,1,0,0,0,0,46,4.0
80,S07,6,Trixie Mattel,26,Milwaukee, Wisconsin,0,0,1,1,3,0,0,2,0,0,0,0,0,0,22,8.0
81,S07,7,Miss Fame,29,New York, New York,0,0,0,2,2,3,0,1,0,0,0,1,0,0,24,7.0
82,S07,8,Jaidynn Diore Fierce,25,Nashville, Tennessee,0,0,0,2,3,0,1,1,0,0,0,0,1,0,21,9.0
83,S07,9,Max,22,Hudson, Wisconsin,0,0,2,0,4,0,0,0,0,0,0,0,0,1,28,6.0
84,S07,10,Kandy Ho,28,Cayey, Puerto Rico,0,0,0,0,2,1,2,1,0,0,0,0,0,0,10,11.0
85,S07,11,Mrs. Kasha Davis,43,Rochester, New York,0,0,0,1,3,0,1,0,0,0,0,0,0,0,15,10.0
86,S07,12,Jasmine Masters,37,Los Angeles, California,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,12.0
87,S07,13,Sasha Belle,28,Iowa City, Iowa,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,13.0
88,S07,14,Tempest DuJour,46,Tucson, Arizona,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.0
89,S08,1,Bob the Drag Queen,29,Brooklyn, New York,1,0,3,0,4,0,1,0,1,0,0,0,0,0,55,1.0
90,S08,2,Kim Chi,27,Chicago, Illinois,0,1,3,1,3,1,0,0,0,0,1,0,0,0,43,2.0
91,S08,2,Naomi Smalls,21,Redlands, California,0,1,2,3,3,0,0,0,0,0,0,0,1,0,41,3.0
92,S08,4,Chi Chi DeVayne,30,Shreveport, Louisiana,0,0,1,1,2,1,2,1,0,0,1,0,0,0,26,4.5
93,S08,5,Derrick Barry,32,Las Vegas, Nevada,0,0,1,1,1,2,1,1,0,1,0,0,0,0,26,4.5
94,S08,6,Thorgy Thor,31,Brooklyn, New York,0,0,0,2,3,0,0,1,0,1,0,0,0,0,24,6.0
95,S08,7,Robbie Turner,33,Seattle, Washington,0,0,1,0,1,1,1,1,0,0,0,1,0,0,16,8.0
96,S08,8,Acid Betty,37,Brooklyn, New York,0,0,0,3,1,0,0,0,0,0,0,0,0,1,18,7.0
97,S08,9,Naysha Lopez,31,Chicago, Illinois,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,10.5
98,S08,10,Cynthia Lee Fontaine,34,Austin, Texas,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,9.0
99,S08,11,Dax ExclamationPoint,31,Savannah, Georgia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,10.5
100,S08,11,Laila McQueen,22,Gloucester, Massachusetts,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12.0
